seed_authority	ledger	count	sha256	status
746d29a0	tracked-files	1440	7A4DCF576D0B7C586FFAEF31AE41A24734A5028604DD8E9155309FDD535E088A	FROZEN_UTF8_LF_SORTED
746d29a0	package-manifests	20	CCC2519B5EF183600C20C14075D8A7FD504E64498DC251875C6E1D0DF440790C	FROZEN_UTF8_LF_SORTED
746d29a0	direct-dependencies	103	826BCBA2CABA315DD64E890D2EAB7220DDB3D508FCCF00A948FE9E83E37C3717	FROZEN_UTF8_LF_SORTED
746d29a0	electron-package-hooks	6	0056654FA5A0E567C41EE3E2C556861237FDB15EBA10CB748F462E9E2CB883CD	FROZEN_UTF8_LF_SORTED
746d29a0	lock-roots	15	E2A0E8183C8D9B40EB1D46DADDE2E88C25FA280517D7ED265FCB9A78057A96CF	FROZEN_UTF8_LF_SORTED
746d29a0	packaged-generated-resources	72	A65D956315B4372FC36256E864DC65941E67760F10A2765756B69E0E81B219EA	FROZEN_GIT_GREP_GRAMMAR
746d29a0	tests	122	82AD9C295F37F74E1C9B1A2D3476BA3CFA811C21A85CAA3CC6C8CC8FA5936AAB	FROZEN_UTF8_LF_SORTED
746d29a0	registered-gates	72	DDB965029DBF1F2A93466B5DA5B0D08D5A4F4BFC9A678D19EB29D5DA2BA70AA3	FROZEN_TAB_LIST_UTF8_LF
746d29a0	claims	2136	24C8F30E5C0BC1F4EA8C7DFB3C9F19E41605E1393044726C394540F0F7A6C812	FROZEN_GIT_GREP_GRAMMAR
